"year","nipa","windc","pct_diff","category"
2000,5.847146e+12,5854636000000.01,0.128096681697598,"labor"
2001,6.038348e+12,6.046342e+12,0.132387202592499,"labor"
2002,6.135115e+12,6.143376e+12,0.134651102709604,"labor"
2003,6.353606e+12,6362301999999.96,0.136867158586185,"labor"
2004,6.719488e+12,6.72931e+12,0.146171851188637,"labor"
2005,7.066107e+12,7.077726e+12,0.164432834090955,"labor"
2006,7.479676e+12,7.491262e+12,0.154899757690008,"labor"
2007,7.878475e+12,7889369999999.99,0.138288183944146,"labor"
2008,8.056826e+12,8.068678e+12,0.147105075869813,"labor"
2009,7.759019e+12,7.76719e+12,0.105309704744871,"labor"
2010,7.925369e+12,7.932974e+12,0.0959576771756288,"labor"
2011,8.226175e+12,8.234016e+12,0.0953176901780095,"labor"
2012,8.567363e+12,8.575373e+12,0.0934943459264925,"labor"
2013,8.835039e+12,8.843634e+12,0.09728310197612,"labor"
2014,9.250208e+12,9259664000000.01,0.102224728352107,"labor"
2015,9.699419e+12,9.709533e+12,0.104274286944395,"labor"
2016,9.966108e+12,9.977091e+12,0.110203501707984,"labor"
2017,1.0424372e+13,1.0434978e+13,0.101742339970179,"labor"
2018,1.0957404e+13,1.096769e+13,0.0938725997508216,"labor"
2019,1.1446611e+13,1.1459776e+13,0.115012207543375,"labor"
2020,1.1596428e+13,1.1602288e+13,0.0505328019973161,"labor"
2021,1.2557025e+13,1.2556633e+13,-0.00312175853758312,"labor"
2022,1.343672e+13,1.3455243e+13,0.137853583314973,"labor"
2000,2.392683e+12,3791520633032.77,58.4631408771145,"capital"
2001,2.495395e+12,3900437138680.87,56.3054000942081,"capital"
2002,2.481213e+12,4091134742075.53,64.8844634489473,"capital"
2003,2.560176e+12,4351039836807.87,69.9508095071539,"capital"
2004,2.704382e+12,4684244314894.91,73.2094177115107,"capital"
2005,2.836599e+12,5094496995118.54,79.5987728656233,"capital"
2006,3.131015e+12,5396489950855.1,72.3559277376538,"capital"
2007,3.28696e+12,5637483940365.54,71.5105733068105,"capital"
2008,3.402098e+12,5821706295051.21,71.1210639743833,"capital"
2009,3.124189e+12,5823743329115.43,86.4081631782019,"capital"
2010,3.289853e+12,6143517479177.47,86.7413978429271,"capital"
2011,3.641363e+12,6379553854782.14,75.1968659752444,"capital"
2012,3.937941e+12,6635240982556.27,68.495185239095,"capital"
2013,3.91367e+12,6940270841045.86,77.33408389174,"capital"
2014,4.145868e+12,7204458678863.14,73.7744346627326,"capital"
2015,4.293663e+12,7397493734610.6,72.288643394011,"capital"
2016,4.383356e+12,7609802405380.01,73.6067616999397,"capital"
2017,4.681628e+12,7905866491195.43,68.8700275031555,"capital"
2018,4.956195e+12,8324318682402.83,67.9578523928705,"capital"
2019,5.194229e+12,8631286229614.58,66.1706911577171,"capital"
2020,5.244553e+12,8648992175741.18,64.9138101138682,"capital"
2021,5.768251e+12,9705444597049.96,68.2562807521718,"capital"
2022,6.217853e+12,10607979670997,70.605185921844,"capital"
